session_id,timestamp,msisdn,imsi,cell_id,technology,apn_name,uplink_mb,downlink_mb,total_traffic_mb,duration_min,avg_throughput_mbps,rtt_latency_ms,packet_loss_pct,billable_amount_tzs
CDR-D-2000000,2026-09-04 07:56:13,+25577800005,640028995059760,TZ-BUK-001,3G,tigo.internet,1.93,8.15,10.08,84,5.96,121.2,1.33,22.17
CDR-D-2000001,2026-09-01 02:35:02,+25571996777,640029543880001,TZ-ARU-002,4G,tigo.internet,151.18,646.41,797.59,43,61.73,48.4,0.42,1754.7
CDR-D-2000002,2026-09-05 21:26:14,+25565278887,640021635149757,TZ-DAR-003,5G,tigo.corporate,356.22,1753.55,2109.78,26,67.38,19.3,0.14,4641.51
CDR-D-2000003,2026-09-01 00:57:49,+25577604575,640028348547534,TZ-MWA-003,4G,tigo.internet,214.11,901.58,1115.69,54,13.19,51.9,0.21,2454.52
CDR-D-2000004,2026-09-06 13:16:29,+25577468332,640029832382243,TZ-DAR-005,4G,tigo.internet,26.29,152.92,179.22,11,56.28,42.7,0.24,394.28
CDR-D-2000005,2026-09-07 10:49:45,+25571737460,640026638851791,TZ-PWA-001,4G,tigo.internet,18.47,63.69,82.15,62,43.66,44.4,0.16,180.74
CDR-D-2000006,2026-09-06 15:17:52,+25571759675,640021413202112,TZ-DOM-001,5G,tigo.internet,355.74,2530.17,2885.91,33,171.67,12.6,0.11,6349.01
CDR-D-2000007,2026-09-04 03:14:14,+25565152973,640029578627236,TZ-MOR-001,4G,tigo.corporate,162.71,755.77,918.48,49,14.09,50.9,0.42,2020.66
CDR-D-2000008,2026-09-06 10:34:30,+25567710224,640024147025728,TZ-MWA-002,4G,tigo.internet,170.29,722.2,892.48,17,19.22,34.0,0.26,1963.47
CDR-D-2000009,2026-09-05 13:47:57,+25571773067,640022215838266,TZ-IRI-001,4G,tigo.pesa.app,62.07,261.92,323.98,25,15.16,36.9,0.3,0.0
CDR-D-2000010,2026-09-01 13:49:42,+25567813745,640022949597857,TZ-MWA-001,5G,tigo.internet,55.78,351.26,407.04,58,245.68,16.2,0.12,895.49
CDR-D-2000011,2026-09-02 04:40:54,+25577899897,640027603958937,TZ-ARU-002,4G,tigo.corporate,74.67,497.18,571.85,31,32.16,34.1,0.2,1258.07
CDR-D-2000012,2026-09-04 21:00:19,+25571998348,640027767538527,TZ-KAH-001,4G,tigo.corporate,24.41,104.53,128.94,60,34.37,40.5,0.42,283.67
CDR-D-2000013,2026-09-02 20:27:22,+25565315621,640028606317217,TZ-DAR-011,4G,tigo.pesa.app,83.76,478.98,562.74,13,56.71,50.9,0.1,0.0
CDR-D-2000014,2026-09-01 05:12:24,+25571359214,640021877434572,TZ-KIL-003,3G,tigo.internet,7.05,19.07,26.12,88,6.32,97.7,1.44,57.46
