transaction_id,timestamp,sender_msisdn,recipient_identifier,channel,transaction_type,amount_tzs,fee_revenue_tzs,cell_id,status,failure_reason
TPESA-3000000,2026-09-04 17:46:41,+25565***138,+25577118158,USSD_*150*01#,CASH_OUT_WAKALA,352200.0,5283.0,TZ-MWA-002,SUCCESS,NONE
TPESA-3000001,2026-09-04 14:40:34,+25565***718,+25567463729,TIGO_PESA_APP,P2P_TRANSFER,232300.0,3484.5,TZ-KAH-001,SUCCESS,NONE
TPESA-3000002,2026-09-07 23:16:49,+25577***242,+25574513697,TIGO_PESA_APP,P2P_TRANSFER,142100.0,2131.5,TZ-KIL-001,SUCCESS,NONE
TPESA-3000003,2026-09-03 11:21:21,+25567***791,+25565596500,TIGO_PESA_APP,CASH_OUT_WAKALA,265500.0,3982.5,TZ-DAR-011,SUCCESS,NONE
TPESA-3000004,2026-09-04 12:56:00,+25565***742,+25567152712,TIGO_PESA_APP,P2P_TRANSFER,222000.0,3330.0,TZ-ZNZ-003,SUCCESS,NONE
TPESA-3000005,2026-09-02 20:29:58,+25577***625,+25571525381,USSD_*150*01#,P2P_TRANSFER,163300.0,2449.5,TZ-DAR-010,SUCCESS,NONE
TPESA-3000006,2026-09-01 12:13:04,+25565***352,+25571815231,USSD_*150*01#,P2P_TRANSFER,168600.0,2529.0,TZ-DAR-009,SUCCESS,NONE
TPESA-3000007,2026-09-04 08:18:21,+25571***768,+25571650768,TIGO_PESA_APP,AIRTIME_TOP_UP,19700.0,0.0,TZ-DAR-012,SUCCESS,NONE
TPESA-3000008,2026-09-07 09:22:00,+25567***185,+25567913185,USSD_*150*01#,AIRTIME_TOP_UP,11300.0,0.0,TZ-GEI-001,SUCCESS,NONE
TPESA-3000009,2026-09-04 16:39:20,+25567***211,+25567142211,USSD_*150*01#,AIRTIME_TOP_UP,11100.0,0.0,TZ-SHI-001,SUCCESS,NONE
TPESA-3000010,2026-09-07 11:14:31,+25571***038,TILL-577821,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,18300.0,146.4,TZ-DAR-004,SUCCESS,NONE
TPESA-3000011,2026-09-07 21:44:46,+25565***352,+25567433323,USSD_*150*01#,P2P_TRANSFER,197600.0,2964.0,TZ-DAR-009,SUCCESS,NONE
TPESA-3000012,2026-09-06 19:48:11,+25565***742,+25574861122,TIGO_PESA_APP,P2P_TRANSFER,239700.0,3595.5,TZ-ZNZ-003,SUCCESS,NONE
TPESA-3000013,2026-09-01 09:53:51,+25577***572,+25571565117,TIGO_PESA_APP,P2P_TRANSFER,38300.0,574.5,TZ-ZNZ-004,SUCCESS,NONE
TPESA-3000014,2026-09-01 09:06:43,+25565***168,+25565974679,TIGO_PESA_APP,CASH_OUT_WAKALA,237700.0,3565.5,TZ-DAR-002,SUCCESS,NONE
TPESA-3000015,2026-09-01 13:48:50,+25567***860,+25565479197,TIGO_PESA_APP,P2P_TRANSFER,73400.0,1101.0,TZ-ZNZ-001,SUCCESS,NONE
TPESA-3000016,2026-09-03 09:04:04,+25565***641,+25565812641,USSD_*150*01#,AIRTIME_TOP_UP,11800.0,0.0,TZ-SON-001,SUCCESS,NONE
TPESA-3000017,2026-09-01 18:05:05,+25567***894,TILL-612097,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,61700.0,493.6,TZ-KIL-003,SUCCESS,NONE
TPESA-3000018,2026-09-06 17:56:46,+25577***684,TILL-941134,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,86500.0,0.0,TZ-DAR-003,FAILED,INSUFFICIENT_FUNDS
TPESA-3000019,2026-09-06 23:59:31,+25567***401,+25567921401,USSD_*150*01#,AIRTIME_TOP_UP,15700.0,0.0,TZ-DAR-015,SUCCESS,NONE
TPESA-3000020,2026-09-03 14:06:17,+25565***127,+25577512002,USSD_*150*01#,CASH_OUT_WAKALA,350700.0,0.0,TZ-TND-001,FAILED,PIN_MAX_ATTEMPTS_EXCEEDED
TPESA-3000021,2026-09-03 18:22:18,+25571***112,+25577348921,USSD_*150*01#,P2P_TRANSFER,18600.0,350.0,TZ-ARU-001,SUCCESS,NONE
TPESA-3000022,2026-09-04 22:23:23,+25571***652,+25565938302,TIGO_PESA_APP,P2P_TRANSFER,143700.0,2155.5,TZ-DAR-010,SUCCESS,NONE
TPESA-3000023,2026-09-04 10:55:43,+25565***236,TILL-991099,USSD_*150*01#,LIPA_KWA_SIMU_MERCHANT,145600.0,1164.8,TZ-MBY-002,SUCCESS,NONE
TPESA-3000024,2026-09-07 11:18:20,+25577***039,TILL-799239,TIGO_PESA_APP,LIPA_KWA_SIMU_MERCHANT,45700.0,365.6,TZ-ZNZ-002,SUCCESS,NONE
TPESA-3000025,2026-09-04 20:04:06,+25571***758,+25565899008,TIGO_PESA_APP,BANK_TO_WALLET_DEPOSIT,567500.0,8512.5,TZ-DAR-007,SUCCESS,NONE
TPESA-3000026,2026-09-01 20:04:28,+25577***905,+25567391927,TIGO_PESA_APP,P2P_TRANSFER,77700.0,1165.5,TZ-DOM-002,SUCCESS,NONE
TPESA-3000027,2026-09-02 08:27:59,+25577***042,+25571817964,TIGO_PESA_APP,P2P_TRANSFER,45100.0,676.5,TZ-DAR-010,SUCCESS,NONE
TPESA-3000028,2026-09-01 13:04:51,+25567***201,+25565469801,TIGO_PESA_APP,CASH_OUT_WAKALA,211500.0,3172.5,TZ-PWA-002,SUCCESS,NONE
