cdr_id,timestamp,calling_msisdn,called_msisdn,call_direction,call_type,duration_sec,termination_cause,call_status,cell_id,interconnect_operator,retail_revenue_tzs,settlement_mtr_tzs,erlang_fraction,is_dropped,is_simbox_flag,is_wangiri_flag
CDR-V-1000001,2026-09-01 00:16:16,+25565204271,+25565959254,MT (Mobile Terminated),3G_CS,0,USER_BUSY,BUSY,TZ-TAR-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000002,2026-09-01 00:30:38,+25565846568,+25574772962,MO (Mobile Originated),3G_CS,320,NORMAL_CLEARING,ANSWERED,TZ-DAR-003,VODACOM,270.0,93.6,0.088889,0,0,0
CDR-V-1000003,2026-09-01 00:07:09,+25565739760,+25577942955,MO (Mobile Originated),2G_CS,0,TRUNK_CIRCUIT_CONGESTION,CONGESTION_BLOCKED,TZ-TAN-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000004,2026-09-01 00:33:32,+25571311807,+25567604617,MO (Mobile Originated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-DOM-003,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000005,2026-09-01 00:06:17,+25565244933,+25571949581,MT (Mobile Terminated),2G_CS,0,USER_BUSY,BUSY,TZ-MOR-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000006,2026-09-01 00:11:17,+25565537605,+25576571366,MO (Mobile Originated),VoLTE,67,NORMAL_CLEARING,ANSWERED,TZ-SNG-001,VODACOM,90.0,31.2,0.018611,0,0,0
CDR-V-1000007,2026-09-01 00:09:07,+25571976579,+25565694103,MO (Mobile Originated),VoLTE,278,NORMAL_CLEARING,ANSWERED,TZ-MOR-001,TIGO_ON_NET,150.0,0.0,0.077222,0,0,0
CDR-V-1000008,2026-09-01 00:59:03,+25571742321,+25571146957,MO (Mobile Originated),VoLTE,132,NORMAL_CLEARING,ANSWERED,TZ-MWA-002,TIGO_ON_NET,90.0,0.0,0.036667,0,0,0
CDR-V-1000009,2026-09-01 00:11:56,+25577531071,+25578504687,MO (Mobile Originated),VoLTE,298,NORMAL_CLEARING,ANSWERED,TZ-DAR-001,AIRTEL,0.0,77.48,0.082778,0,1,0
CDR-V-1000010,2026-09-01 00:27:24,+25567475876,+25576685219,MO (Mobile Originated),2G_CS,0,USER_BUSY,BUSY,TZ-DAR-012,VODACOM,0.0,0.0,0.0,0,0,0
CDR-V-1000011,2026-09-01 00:07:00,+25567346120,+25571402790,MT (Mobile Terminated),VoLTE,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-MTW-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000012,2026-09-01 00:18:59,+25565883377,+25571924357,MO (Mobile Originated),3G_CS,296,NORMAL_CLEARING,ANSWERED,TZ-KIL-002,TIGO_ON_NET,150.0,0.0,0.082222,0,0,0
CDR-V-1000013,2026-09-01 00:41:08,+25577168637,+25672638431,MT (Mobile Terminated),VoLTE,23,NORMAL_CLEARING,ANSWERED,TZ-SNG-001,INTL_UGANDA,250.0,120.0,0.006389,0,0,0
CDR-V-1000014,2026-09-01 00:29:53,+25577649435,+25569445426,MT (Mobile Terminated),2G_CS,53,NORMAL_CLEARING,ANSWERED,TZ-DAR-015,AIRTEL,45.0,15.6,0.014722,0,0,0
CDR-V-1000015,2026-09-01 00:21:01,+25567757685,+25478081357,MT (Mobile Terminated),VoLTE,346,NORMAL_CLEARING,ANSWERED,TZ-DAR-004,INTL_KENYA,1500.0,720.0,0.096111,0,0,0
CDR-V-1000016,2026-09-01 00:25:58,+25571491172,+25574395900,MO (Mobile Originated),2G_CS,66,NORMAL_CLEARING,ANSWERED,TZ-DAR-006,VODACOM,90.0,31.2,0.018333,0,0,0
CDR-V-1000017,2026-09-01 00:25:39,+25577710008,+25574648187,MT (Mobile Terminated),VoLTE,302,NORMAL_CLEARING,ANSWERED,TZ-KAH-001,VODACOM,270.0,93.6,0.083889,0,0,0
CDR-V-1000018,2026-09-01 00:48:12,+25567797694,+25575660249,MT (Mobile Terminated),2G_CS,325,NORMAL_CLEARING,ANSWERED,TZ-ZNZ-002,VODACOM,270.0,93.6,0.090278,0,0,0
CDR-V-1000019,2026-09-01 01:50:00,+25577874415,+25576693234,MT (Mobile Terminated),2G_CS,353,NORMAL_CLEARING,ANSWERED,TZ-DAR-015,VODACOM,270.0,93.6,0.098056,0,0,0
CDR-V-1000020,2026-09-01 01:41:31,+25565661147,+25577289383,MT (Mobile Terminated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-MOR-001,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000021,2026-09-01 01:36:29,+25567833723,+25571191200,MO (Mobile Originated),2G_CS,0,NO_ANSWER_TIMEOUT,NO_ANSWER,TZ-PWA-002,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000022,2026-09-01 01:48:22,+25567268252,+25574498606,MO (Mobile Originated),3G_CS,80,RADIO_LINK_FAILURE,DROPPED,TZ-DOM-002,VODACOM,90.0,31.2,0.022222,1,0,0
CDR-V-1000023,2026-09-01 01:48:57,+25565866151,+25569451917,MO (Mobile Originated),3G_CS,25,HANDOVER_FAILURE,DROPPED,TZ-DAR-007,AIRTEL,45.0,15.6,0.006944,1,0,0
CDR-V-1000024,2026-09-01 01:31:29,+25577432061,+25567503803,MO (Mobile Originated),VoLTE,0,USER_BUSY,BUSY,TZ-DAR-006,TIGO_ON_NET,0.0,0.0,0.0,0,0,0
CDR-V-1000025,2026-09-01 01:06:34,+25565231875,+25577244463,MO (Mobile Originated),3G_CS,87,NORMAL_CLEARING,ANSWERED,TZ-TAR-001,TIGO_ON_NET,60.0,0.0,0.024167,0,0,0
CDR-V-1000026,2026-09-01 01:38:30,+25565799486,+25567856029,MT (Mobile Terminated),3G_CS,82,NORMAL_CLEARING,ANSWERED,TZ-MBY-002,TIGO_ON_NET,60.0,0.0,0.022778,0,0,0
CDR-V-1000027,2026-09-01 01:06:52,+25565244933,+25571434454,MT (Mobile Terminated),VoLTE,310,NORMAL_CLEARING,ANSWERED,TZ-MOR-001,TIGO_ON_NET,180.0,0.0,0.086111,0,0,0
