record_id,subscriber_msisdn,recipient_number,event_timestamp,transaction_type,amount_paid,service_status,location_cell,session_duration_sec,network_layer,user_agent_device,notes_field
REC-101239,tel:+255-714-020824,0714-018-632,11/05/2023 02:54 PM,BUNDLE_PURCHASE,"125,585.16",Term,Mwanza,120,LTE-A,Unknown,None
REC-101897,0714008768,+255(0)714007946,2023-11-09 13:15:24,VOICE_CALL,$ 29.26 USD,null,Zanzibar,0,4G LTE,Huawei P40 Lite,
REC-100223,  714017810  ,0714-006-576,2023-11-16 03:04:29,TIGO_PESA_CASH_OUT,"TZS 58,189.89/=",  active  ,ZNZ,-15,5G NR,Tecno Spark 10 Pro,Flagged for KYC update; verified by agent
REC-100533,tel:+255-714-002877,+255/714/031921,2023-11-12 18:01:45,VOICE_CALL,"TZS 80,993.31/=",PENDING_KYC,Morogoro,1800,3G WCDMA,Tecno Spark 10 Pro,"VIP Subscriber, priority routing"
REC-100692,+255/714/016577,+255 714 033 291,2023-11-30 11:00:37,SMS_PACK,"TZS 108,949.45/=",Term,Arusha﻿,0,LTE-A,Tecno Spark 10 Pro,"Customer stated: ""Cannot connect to 4G in Posta area, please help"""
REC-102027,+255(0)714028085,0714003151,"Nov 19, 2023 11:29",BUNDLE_PURCHASE,"TZS 64,565.31/=",CHURNED,DAR ES SALAAM,-15,LTE-A,Huawei P40 Lite,Flagged for KYC update; verified by agent
REC-101745,+255/714/011782,0714021920,2023/11/04,VOICE_CALL,"58,926.82",Term,Morogoro,-15,unknown,Unknown,"VIP Subscriber, priority routing"
REC-101459,+255(0)714030688,0000000000,01-12-2023 23:11:11,DATA_RECHARGE,$ 5.45 USD,,Dodoma ,360,4G,Transsion Infinix Hot 30,"VIP Subscriber, priority routing"
REC-102144,tel:+255-714-009042,0000000000,2023-11-12 03:07:27,VOICE_CALL,FREE,,Zanzibar,120,unknown,Unknown,"VIP Subscriber, priority routing"
REC-101116,0714006576,+255/714/033976,2023-11-24 18:37:47,SMS_PACK,"3,847.9800",Terminated,Arusha,360,3G WCDMA,Unknown,Flagged for KYC update; verified by agent
REC-100200,N/A,+255 714 029 044,11/26/2023 02:43 PM,DATA_RECHARGE,"78,406.67",actve,Zanzibar,N/A,5G NR,Samsung Galaxy A14; Android 13,"USSD session timeout, retry OK"
REC-100780,+255 714 020 276,tel:+255-714-021509,1700427561,VOICE_CALL,$ 9.20 USD,ACTV,"Stone Town, Zanzibar",30s,4G LTE,Unknown,
REC-101487,0714-009-590,  714004658  ,10-11-2023 06:28:30,TIGO_PESA_CASH_IN,"TZS 27,648.10/=",Terminated,DAR ES SALAAM,360,LTE-A,Huawei P40 Lite,Standard call; cell handover success
REC-101505,tel:+255-714-002329,+255(0)714029866,11/28/2023 09:10 AM,TIGO_PESA_CASH_IN,"TZS 16,128.94/=",Pending_Kyc​,,30s,4G,Unknown,Standard call; cell handover success
REC-101436,0714-024-386,tel:+255-714-010275,1701289019,TIGO_PESA_CASH_OUT,$ 24.91 USD,Suspended,Dodoma ,30s,4G,Huawei P40 Lite,"USSD session timeout, retry OK"
REC-101570,  714025756  ,+255 714 020 961,05-11-2023 11:16:23,TIGO_PESA_CASH_OUT,$ 57.17 USD,churn,  Dar es Salaam  ,-15,3G WCDMA,Unknown,
REC-101722,tel:+255-714-000822,+255 714 031 099,1700058686,VOICE_CALL,$ 0.47 USD,null,Mwanza,30s,unknown,"iPhone 13,2 (iOS 16.5)","USSD session timeout, retry OK"
REC-101842,+255/714/002055,255714020002,11/10/2023 10:29 PM,VOICE_CALL,"15,293.99",Term,Zanzibar,1800,3G WCDMA,Tecno Spark 10 Pro,"USSD session timeout, retry OK"
REC-101298,N/A,+255 714 023 838,07-11-2023 11:23:45,TIGO_PESA_CASH_OUT,$ 51.68 USD,churn,ZNZ,45,unknown,Unknown,"VIP Subscriber, priority routing"
REC-102187,0714016303,255714033702,2023-11-21 03:23:25,TIGO_PESA_CASH_IN,"97,399.5900",actve,DODOMA (Capital),1800,5G NR,Nokia 105 (Feature Phone),"USSD session timeout, retry OK"
REC-101823,tel:+255-714-021783,0714-032-606,20-11-2023 22:11:34,SMS_PACK,"TZS 21,533.36/=",SUSPENDED,Dar es Salaam,0,5G NR,Nokia 105 (Feature Phone),"VIP Subscriber, priority routing"
REC-101105,+255 714 025 071,+255 714 024 934,2023-11-11 20:48:50,VOICE_CALL,NaN,suspnded,dar-es-salaam,30s,5G NR,Tecno Spark 10 Pro,"VIP Subscriber, priority routing"
REC-101486,+255(0)714026578,255714013974,2023/11/04,TIGO_PESA_CASH_OUT,FREE,SUSPENDED,  Dar es Salaam  ,120,4G LTE,Transsion Infinix Hot 30,None
REC-100898,0714-010-138,255714028085,12/01/2023 08:27 AM,SMS_PACK,"TZS 37,681.21/=",ACTIVE,ZNZ,0,2G GSM,Transsion Infinix Hot 30,None
REC-102473,255714022057,0000000000,1700585506,SMS_PACK,"61,835.58",ACTIVE,Arusha﻿,-15,unknown,Samsung Galaxy A14; Android 13,"VIP Subscriber, priority routing"
REC-100240,0000000000,+255 714 028 633,11/26/2023 11:04 AM,BUNDLE_PURCHASE,"TZS 112,337.73/=",pending,  Dar es Salaam  ,45,4G LTE,Samsung Galaxy A14; Android 13,"VIP Subscriber, priority routing"
REC-101681,+255 714 019 591,N/A,2023-11-18 10:21:49,BUNDLE_PURCHASE,"2,731.1900",CHURNED,Zanzibar,1800,4G LTE,Samsung Galaxy A14; Android 13,Flagged for KYC update; verified by agent
REC-101217,+255/714/023838,+255(0)714018221,1699886641,TIGO_PESA_CASH_OUT,"TZS 82,360.78/=",Suspended,Tanga,02:15,4G,Unknown,Standard call; cell handover success
REC-100281,255714018495,+255/714/010412,2023-11-14 05:35:04,TIGO_PESA_CASH_IN,$ 24.67 USD,pending,Arusha,30s,unknown,Nokia 105 (Feature Phone),Flagged for KYC update; verified by agent
REC-101012,+255(0)714003836,0714-004-110,2023-11-19T09:56:18+03:00,TIGO_PESA_CASH_OUT,,  active  ,ZNZ,45,3G WCDMA,Unknown,Standard call; cell handover success
REC-100492,+255(0)714012741,255714016303,2023-12-01 15:15:37,SMS_PACK,  10517  ,Suspended,Arusha,30s,4G,Huawei P40 Lite,"VIP Subscriber, priority routing"
REC-101416,+255 714 000 274,0714-019-180,11/09/2023 12:30 AM,TIGO_PESA_CASH_IN,"9,725.9200",Terminated,Mwanza Rock City,120,LTE-A,Samsung Galaxy A14; Android 13,Standard call; cell handover success
REC-100640,255714026304,0714017810,2023-11-22 15:49:21,BUNDLE_PURCHASE,  104329  ,Pending_Kyc​,"Stone Town, Zanzibar",360,2G GSM,Transsion Infinix Hot 30,
REC-101216,+255(0)714022742,+255/714/032195,"Nov 05, 2023 07:50",TIGO_PESA_CASH_OUT,  33153  ,SUSPENDED,,1800,4G,Transsion Infinix Hot 30,"VIP Subscriber, priority routing"
REC-102314,0714-032-880,0000000000,05-11-2023 19:06:46,DATA_RECHARGE,"109,170.46",ACTIVE,DAR ES SALAAM,360,2G GSM,Nokia 105 (Feature Phone),None
REC-100072,N/A,+255 714 018 358,2023-11-12 00:03:57,VOICE_CALL,,Term,Tanga,02:15,LTE-A,Samsung Galaxy A14; Android 13,None
